"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"02/24/2020","53","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","7","47",".","53","42"
"02/25/2020","61","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","37",".","61","33"
"02/26/2020","56","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","40",".","56","20"
"02/27/2020","40","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","40","4","16","30"
"02/28/2020","38","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","38",".","23","25"
"02/29/2020","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","36",".","32","33"
"03/01/2020","38","NO2","WORCESTER SUMMER STREET","25-027-0023","AQS","3","37",".","28","38"
"03/02/2020","52","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","46",".","52","32"
"03/03/2020","45","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","43",".","45","37"
"03/04/2020","37","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","37","8","28","14"
"03/05/2020","38","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","6","38",".","33","38"
"03/06/2020","41","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","8","39",".","41","34"
"03/07/2020","40","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","40",".","21","7"
"03/08/2020","43","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","43",".","30","42"
"03/09/2020","47","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","5","47",".","36","40"
"03/10/2020","46","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","41","31","46","24"
"03/11/2020","38","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","38",".","17","11"
"03/12/2020","36","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","36",".","36","19"
"03/13/2020","37","Ozone","UXBRIDGE","25-027-0024","AQS","3","37",".","24","23"
"03/14/2020","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","36",".","25","7"
"03/15/2020","44","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","44",".","25","8"
"03/16/2020","40","Ozone","UXBRIDGE","25-027-0024","AQS","3","40","9","28","16"
"03/17/2020","34","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","33",".","34","25"
"03/18/2020","44","Ozone","UXBRIDGE","25-027-0024","AQS","3","44",".","25","28"
"03/19/2020","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","36",".","21","20"
"03/20/2020","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","31",".","30","18"
"03/21/2020","39","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","39",".","24","8"
"03/22/2020","41","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","41","8","35","18"
"03/23/2020","36","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","36",".","29","22"
"03/24/2020","38","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","38",".","18","18"
"03/25/2020","38","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","38",".","35","18"
"03/26/2020","43","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","43",".","38","29"
"03/27/2020","43","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","43",".","28","27"
"03/28/2020","40","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","5","40","17","40","28"
"03/29/2020","42","Ozone","UXBRIDGE","25-027-0024","AQS","3","42",".","17","10"
"03/30/2020","40","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","40",".","22","12"
"03/31/2020","43","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","43",".","28","19"
"04/01/2020","39","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","39",".","29","20"
"04/02/2020","34","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","34",".","12","14"
"04/03/2020","37","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","37","4","26","8"
"04/04/2020","37","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","37",".","28","11"
"04/05/2020","43","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","2","35",".","43","16"
"04/06/2020","40","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","40",".","24","17"
"04/07/2020","45","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","45",".","30","34"
"04/08/2020","42","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","42",".","34","27"
"04/09/2020","41","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","41","10","39","24"
"04/10/2020","34","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","34",".","10","6"
"04/11/2020","41","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","41",".","23","8"
"04/12/2020","47","Ozone","UXBRIDGE","25-027-0024","AQS","2","47",".",".","31"
"04/13/2020","44","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","44",".",".","10"
"04/14/2020","44","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","44",".",".","8"
"04/15/2020","44","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","44","6","29","40"
"04/16/2020","39","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","39",".","30","39"
"04/17/2020","44","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","44",".","33","9"
"04/18/2020","39","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","39",".","30","15"
"04/19/2020","51","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","51",".","38","25"
"04/20/2020","41","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","41",".","27","32"
"04/21/2020","41","Ozone","UXBRIDGE","25-027-0024","AQS","3","41","11","35","24"
"04/22/2020","43","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","43",".","25","5"
"04/23/2020","45","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","45",".","30","23"
"04/24/2020","46","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","3","42",".","46","30"
"04/25/2020","46","Ozone","UXBRIDGE","25-027-0024","AQS","5","46",".","45","35"
"04/26/2020","40","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","40",".","33","22"
"04/27/2020","38","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","38","3","16","."
"04/28/2020","38","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","38",".","28","14"
"04/29/2020","40","Ozone","UXBRIDGE","25-027-0024","AQS","3","40",".","28","28"
"04/30/2020","35","Ozone","UXBRIDGE","25-027-0024","AQS","2","35",".","33","18"
"05/01/2020","46","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","46",".","13","24"
"05/02/2020","38","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","38",".","28","18"
"05/03/2020","49","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","49","12","42","40"
"05/04/2020","43","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","43",".","18","8"
"05/05/2020","32","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","32",".","23","6"
"05/06/2020","37","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","37",".","21","26"
"05/07/2020","44","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","44",".","27","28"
"05/08/2020","40","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","40",".","21","10"
"05/09/2020","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","31","5","23","5"
"05/10/2020","42","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","3","42",".","33","22"
"05/11/2020","42","Ozone","UXBRIDGE","25-027-0024","AQS","3","42",".","35","28"
"05/12/2020","39","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","39",".","17","7"
"05/13/2020","38","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","38",".","24","8"
"05/14/2020","54","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","2","54",".","30","34"
