"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"09/18/2021","30","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","93","18","42.4","09/18/2015","09/18/2005"
"09/19/2021","24","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","79","17","26.8","09/19/2006","09/19/2018"
"09/20/2021","32","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","87","19","28","09/20/2007","09/20/2017"
"09/21/2021","32","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","108","28","34.2","09/21/2007","09/21/2017"
"09/22/2021","28","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","112","24","41.4","09/22/2010","09/22/2018"
"09/23/2021","37","Ozone","UXBRIDGE","25-027-0024","AQS","62","23","40.2","09/23/2006","09/23/2013"
"09/24/2021","29","Ozone","UXBRIDGE","25-027-0024","AQS","88","21","31.6","09/24/2001","09/24/2011"
"09/25/2021","40","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","129","21","38","09/25/2007","09/25/2014"
"09/26/2021","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","150","13","36.4","09/26/2007","09/26/2000"
"09/27/2021","45","Ozone","UXBRIDGE","25-027-0024","AQS","70","17","29.2","09/27/2007","09/27/2010"
"09/28/2021","32","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","62","19","31.4","09/28/2004","09/28/2008"
"09/29/2021","23","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","47","19","29","09/29/2014","09/29/2008"
"09/30/2021","18","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","48","16","27.2","09/30/2011","09/30/2014"
"10/01/2021","20","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","68","11","30","10/01/2002","10/01/2012"
"10/02/2021","34","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","81","17","25.4","10/02/2002","10/02/2009"
"10/03/2021","40","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","78","8","23.8","10/03/2001","10/03/2018"
"10/04/2021","21","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","93","12","32","10/04/2001","10/04/2008"
"10/05/2021","27","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","108","8","31.2","10/05/2001","10/05/2006"
"10/06/2021","32","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","79","11","35.8","10/06/2007","10/06/2006"
"10/07/2021","29","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","60","13","34.2","10/07/2004","10/07/2008"
"10/08/2021","38","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","77","0","26.4","10/08/2004","10/08/2005"
"10/09/2021","27","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","79","0","27.8","10/09/2003","10/09/2005"
"10/10/2021","28","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","53","0","29.2","10/10/2006","10/10/2005"
"10/11/2021","30","Ozone","UXBRIDGE","25-027-0024","AQS","48","0","30.2","10/11/2001","10/11/2005"
"10/12/2021","34","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","58","9","30.4","10/12/2001","10/12/2009"
"10/13/2021","34","Ozone","UXBRIDGE","25-027-0024","AQS","75","12","32.4","10/13/2001","10/13/2006"
"10/14/2021","35","PM2.5","WORCESTER SUMMER STREET","25-027-0023","AQS","71","0","29.8","10/14/2000","10/14/2005"
"10/15/2021","33","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","56","0","30.6","10/15/2000","10/15/2005"
"10/16/2021","39","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","58","3","32.4","10/16/2008","10/16/2012"
"10/17/2021","26","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","61","3","32.4","10/17/2007","10/17/2005"
"10/18/2021","25","Ozone","UXBRIDGE","25-027-0024","AQS","84","8","35","10/18/2007","10/18/2009"
"10/19/2021","31","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","53","17","36.2","10/19/2013","10/19/2008"
"10/20/2021","44","Ozone","WORCESTER AIRPORT","25-027-0015","AQS","55","6","34.6","10/20/2010","10/20/2000"
