"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"05/28/2021","32","Ozone","DUNKIRK","36-013-0006","AQS","93","29","53.8","05/28/2002","05/28/2019"
"05/29/2021","35","Ozone","DUNKIRK","36-013-0006","AQS","133","31","51.2","05/29/2006","05/29/2019"
"05/30/2021","38","Ozone","DUNKIRK","36-013-0006","AQS","143","36","53","05/30/2006","05/30/2003"
"05/31/2021","46","Ozone","DUNKIRK","36-013-0006","AQS","179","29","46.4","05/31/2000","05/31/2015"
"06/01/2021","67","Ozone","DUNKIRK","36-013-0006","AQS","151","31","48.6","06/01/2002","06/01/2015"
"06/02/2021","47","Ozone","DUNKIRK","36-013-0006","AQS","151","24","45.4","06/02/2007","06/02/2018"
"06/03/2021","37","Ozone","DUNKIRK","36-013-0006","AQS","87","30","47","06/03/2016","06/03/2019"
"06/04/2021","80","Ozone","DUNKIRK","36-013-0006","AQS","64","28","51","06/04/2017","06/04/2012"
"06/05/2021","100","Ozone","DUNKIRK","36-013-0006","AQS","147","28","44.4","06/05/2006","06/05/2000"
"06/06/2021","71","Ozone","DUNKIRK","36-013-0006","AQS","105","7","35.6","06/06/2005","06/06/2017"
"06/07/2021","41","Ozone","DUNKIRK","36-013-0006","AQS","161","36","44.75","06/07/2004","06/07/2010"
"06/08/2021","41","Ozone","DUNKIRK","36-013-0006","AQS","159","32","50.75","06/08/2011","06/08/2013"
"06/09/2021","42","Ozone","DUNKIRK","36-013-0006","AQS","204","40","53.4","06/09/2000","06/09/2018"
"06/10/2021","47","Ozone","DUNKIRK","36-013-0006","AQS","192","31","64.6","06/10/2000","06/10/2004"
"06/11/2021","77","Ozone","DUNKIRK","36-013-0006","AQS","169","35","62.6","06/11/2002","06/11/2009"
"06/12/2021","46","Ozone","DUNKIRK","36-013-0006","AQS","104","19","45.6","06/12/2005","06/12/2000"
"06/13/2021","51","Ozone","DUNKIRK","36-013-0006","AQS","133","33","42.5","06/13/2001","06/13/2016"
"06/14/2021","43","Ozone","DUNKIRK","36-013-0006","AQS","166","32","43","06/14/2001","06/14/2014"
"06/15/2021","42","Ozone","DUNKIRK","36-013-0006","AQS","105","35","39","06/15/2008","06/15/2017"
"06/16/2021","36","Ozone","DUNKIRK","36-013-0006","AQS","101","27","37.4","06/16/2014","06/16/2019"
"06/17/2021","48","Ozone","DUNKIRK","36-013-0006","AQS","151","27","47.4","06/17/2006","06/17/2005"
"06/18/2021","49","Ozone","DUNKIRK","36-013-0006","AQS","119","23","54.2","06/18/2006","06/18/2005"
"06/19/2021","46","Ozone","DUNKIRK","36-013-0006","AQS","190","29","52.2","06/19/2001","06/19/2005"
"06/20/2021","54","Ozone","DUNKIRK","36-013-0006","AQS","147","31","48.8","06/20/2002","06/20/2003"
"06/21/2021","44","Ozone","DUNKIRK","36-013-0006","AQS","187","32","43.2","06/21/2002","06/21/2019"
"06/22/2021","30","Ozone","DUNKIRK","36-013-0006","AQS","140","32","39.5","06/22/2002","06/22/2018"
"06/23/2021","43","Ozone","DUNKIRK","36-013-0006","AQS","192","30","37.6","06/23/2003","06/23/2017"
"06/24/2021","45","Ozone","DUNKIRK","36-013-0006","AQS","214","29","41.4","06/24/2003","06/24/2011"
"06/25/2021","44","Ozone","DUNKIRK","36-013-0006","AQS","202","30","44.2","06/25/2003","06/25/2011"
"06/26/2021","41","Ozone","DUNKIRK","36-013-0006","AQS","161","26","56.8","06/26/2003","06/26/2011"
"06/27/2021","40","PM2.5","DUNKIRK","36-013-0006","AQS","161","30","44.4","06/27/2005","06/27/2018"
"06/28/2021","45","Ozone","DUNKIRK","36-013-0006","AQS","197","29","44","06/28/2012","06/28/2016"
"06/29/2021","50","Ozone","DUNKIRK","36-013-0006","AQS","195","31","63.2","06/29/2001","06/29/2010"
"06/30/2021","40","Ozone","DUNKIRK","36-013-0006","AQS","147","26","52.2","06/30/2002","06/30/2009"
"07/01/2021","38","Ozone","DUNKIRK","36-013-0006","AQS","164","20","51","07/01/2002","07/01/2013"
"07/02/2021","33","Ozone","DUNKIRK","36-013-0006","AQS","154","29","45.4","07/02/2000","07/02/2016"
"07/03/2021","33","Ozone","DUNKIRK","36-013-0006","AQS","172","21","48.8","07/03/2003","07/03/2009"
"07/04/2021","44","Ozone","DUNKIRK","36-013-0006","AQS","174","33","43.2","07/04/2002","07/04/2009"
"07/05/2021","67","Ozone","DUNKIRK","36-013-0006","AQS","87","33","58.4","07/05/2005","07/05/2013"
"07/06/2021","84","Ozone","DUNKIRK","36-013-0006","AQS","126","35","53.6","07/06/2011","07/06/2001"
"07/07/2021","64","Ozone","DUNKIRK","36-013-0006","AQS","133","18","53.4","07/07/2010","07/07/2018"
"07/08/2021","25","Ozone","DUNKIRK","36-013-0006","AQS","159","29","42.25","07/08/2010","07/08/2009"
"07/09/2021","19","Ozone","DUNKIRK","36-013-0006","AQS","143","31","52.6","07/09/2001","07/09/2014"
"07/10/2021","32","Ozone","DUNKIRK","36-013-0006","AQS","140","31","51.4","07/10/2007","07/10/2016"
"07/11/2021","27","Ozone","DUNKIRK","36-013-0006","AQS","122","31","46.6","07/11/2005","07/11/2001"
"07/12/2021","32","Ozone","DUNKIRK","36-013-0006","AQS","136","29","51.6","07/12/2012","07/12/2001"
"07/13/2021","35","Ozone","DUNKIRK","36-013-0006","AQS","122","34","64","07/13/2005","07/13/2007"
"07/14/2021","40","Ozone","DUNKIRK","36-013-0006","AQS","169","30","49.2","07/14/2002","07/14/2019"
"07/15/2021","44","Ozone","DUNKIRK","36-013-0006","AQS","159","28","45.6","07/15/2002","07/15/2015"
"07/16/2021","38","Ozone","DUNKIRK","36-013-0006","AQS","147","29","46","07/16/2006","07/16/2016"
"07/17/2021","46","Ozone","DUNKIRK","36-013-0006","AQS","206","33","38.75","07/17/2002","07/17/2014"
"07/18/2021","48","PM2.5","DUNKIRK","36-013-0006","AQS","169","28","46","07/18/2002","07/18/2009"
"07/19/2021","41","Ozone","DUNKIRK","36-013-0006","AQS","129","26","60.6","07/19/2017","07/19/2009"
"07/20/2021","67","Ozone","DUNKIRK","36-013-0006","AQS","147","27","50.6","07/20/2001","07/20/2012"
"07/21/2021","38","PM2.5","DUNKIRK","36-013-0006","AQS","151","34","53","07/21/2004","07/21/2019"
"07/22/2021","27","Ozone","DUNKIRK","36-013-0006","AQS","154","26","34.8","07/22/2001","07/22/2017"
"07/23/2021","33","Ozone","DUNKIRK","36-013-0006","AQS","140","30","45","07/23/2001","07/23/2000"
"07/24/2021","49","PM2.5","DUNKIRK","36-013-0006","AQS","87","32","38.2","07/24/2001","07/24/2017"
"07/25/2021","48","Ozone","DUNKIRK","36-013-0006","AQS","87","31","48","07/25/2007","07/25/2017"
"07/26/2021","77","Ozone","DUNKIRK","36-013-0006","AQS","143","29","41","07/26/2006","07/26/2016"
"07/27/2021","61","Ozone","DUNKIRK","36-013-0006","AQS","143","31","51","07/27/2000","07/27/2011"
"07/28/2021","40","Ozone","DUNKIRK","36-013-0006","AQS","151","29","45.6","07/28/2008","07/28/2017"
"07/29/2021","51","Ozone","DUNKIRK","36-013-0006","AQS","100","25","49.8","07/29/2006","07/29/2014"
"07/30/2021","34","Ozone","DUNKIRK","36-013-0006","AQS","97","30","39.2","07/30/2003","07/30/2013"
"07/31/2021","31","Ozone","DUNKIRK","36-013-0006","AQS","126","37","41.6","07/31/2002","07/31/2018"
"08/01/2021","35","Ozone","DUNKIRK","36-013-0006","AQS","156","39","52","08/01/2002","08/01/2012"
"08/02/2021","30","Ozone","DUNKIRK","36-013-0006","AQS","169","34","52.2","08/02/2007","08/02/2008"
"08/03/2021","31","Ozone","DUNKIRK","36-013-0006","AQS","150","30","55","08/03/2007","08/03/2008"
"08/04/2021","44","Ozone","DUNKIRK","36-013-0006","AQS","151","29","52.8","08/04/2002","08/04/2013"
"08/05/2021","48","PM2.5","DUNKIRK","36-013-0006","AQS","97","25","44.4","08/05/2008","08/05/2015"
"08/06/2021","51","Ozone","DUNKIRK","36-013-0006","AQS","105","31","42.2","08/06/2001","08/06/2012"
"08/07/2021","51","Ozone","DUNKIRK","36-013-0006","AQS","156","30","38.4","08/07/2001","08/07/2016"
"08/08/2021","57","PM2.5","DUNKIRK","36-013-0006","AQS","151","26","37.4","08/08/2001","08/08/2015"
