"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"05/15/2021","47","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","55","21","35.4","05/15/2007","05/15/2000"
"05/16/2021","48","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","44","5","38.4","05/16/2015","05/16/2014"
"05/17/2021","48","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","46","8","34.8","05/17/2019","05/17/2009"
"05/18/2021","50","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","64","16","36.8","05/18/2000","05/18/2011"
"05/19/2021","42","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","52","8","35.8","05/19/2012","05/19/2010"
"05/20/2021","44","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","56","11","31.4","05/20/2012","05/20/2015"
"05/21/2021","67","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","47","15","34.2","05/21/2016","05/21/2007"
"05/22/2021","54","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","45","10","26.6","05/22/2016","05/22/2005"
"05/23/2021","32","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","51","10","37.4","05/23/2002","05/23/2014"
"05/24/2021","41","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","71","8","41","05/24/2007","05/24/2003"
"05/25/2021","36","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","84","16","55","05/25/2018","05/25/2005"
"05/26/2021","46","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","77","18","45.4","05/26/2018","05/26/2013"
"05/27/2021","31","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","87","13","46","05/27/2016","05/27/2003"
"05/28/2021","31","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","67","9","34.6","05/28/2016","05/28/2014"
"05/29/2021","29","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","66","12","36.2","05/29/2012","05/29/2009"
"05/30/2021","25","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","60","13","35","05/30/2011","05/30/2000"
"05/31/2021","23","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","61","7","32","05/31/2008","05/31/2015"
"06/01/2021","47","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","62","3","30.4","06/01/2011","06/01/2015"
"06/02/2021","58","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","83","6","31","06/02/2007","06/02/2015"
"06/03/2021","30","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","59","10","31","06/03/2005","06/03/2015"
"06/04/2021","40","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","50","14","29","06/04/2008","06/04/2006"
"06/05/2021","47","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","40","17","31.2","06/05/2003","06/05/2008"
"06/06/2021","74","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","59","7","28.4","06/06/2005","06/06/2010"
"06/07/2021","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","53","13","31","06/07/2011","06/07/2010"
"06/08/2021","35","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","92","8","34.2","06/08/2004","06/08/2010"
"06/09/2021","41","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","77","8","32","06/09/2005","06/09/2015"
