"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM25","NO2"
"12/02/2012","52","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","8","52","25"
"12/03/2012","56","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","13","56","14"
"12/04/2012","66","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","11","66","16"
"12/05/2012","25","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","9","25","24"
"12/06/2012","50","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","11","50","25"
"12/07/2012","73","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","13","73","24"
"12/08/2012","65","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","13","65","17"
"12/09/2012","31","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10","31","12"
"12/10/2012","25","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","14","25","20"
"12/11/2012","32","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","10","32","10"
"12/12/2012","63","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","14","63","24"
"12/13/2012","90","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","17","90","22"
"12/14/2012","82","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","20","82","24"
"12/15/2012","41","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","41","9"
"12/16/2012","31","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","31","15"
"12/17/2012","14","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3","14","10"
"12/18/2012","19","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","19","19"
"12/19/2012","19","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","5","19","15"
"12/20/2012","33","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","6","33","14"
