"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"04/29/2017","51","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","51",".","10","8"
"04/30/2017","34","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","34",".","13","14"
"05/01/2017","29","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","29","15","21","12"
"05/02/2017","8","NO2","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".",".","6","8"
"05/03/2017","34","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","34",".","18","19"
"05/04/2017","43","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","43",".","23","15"
"05/05/2017","39","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","39",".","3","17"
"05/06/2017","44","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","44",".","10","12"
"05/07/2017","27","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","27","3","7","6"
"05/08/2017","28","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","28",".","8","8"
"05/09/2017","28","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","28",".","14","10"
"05/10/2017","35","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","35",".","19","4"
"05/11/2017","34","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","34",".","16","15"
"05/12/2017","40","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","40",".","13","19"
"05/13/2017","38","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","38","7","13","15"
"05/14/2017","47","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","47",".","1","16"
"05/15/2017","43","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","1","43",".","10","10"
"05/16/2017","38","Ozone","State of Vermont District Court Parking Lot","50-021-0002","AQS","2","38",".","18","12"
"05/17/2017","33","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","2",".",".","33","23"
"05/18/2017","43","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","3",".",".","43","18"
"05/19/2017","19","PM2.5","State of Vermont District Court Parking Lot","50-021-0002","AQS","1",".","16","19","13"
